Speaker_ID,Speaker,ID,path_length,mean_k,clust_coef_global,Language,data_type
Lewis_62,Lewis,62,0.19669533367611022,3.8,0.35687732342007433,UK,iter
Lewis_63,Lewis,63,0.11292984413648964,3.4,0.4117647058823529,UK,iter
Lewis_64,Lewis,64,0.18741416892827692,3.4,0.41116751269035534,UK,iter
Lewis_65,Lewis,65,0.20895900587094487,3.4,0.4020618556701031,UK,iter
Lewis_66,Lewis,66,0.1890121504400517,3.2,0.43636363636363634,UK,iter
Lewis_67,Lewis,67,0.18741416892827686,3.4,0.41116751269035534,UK,iter
Lewis_68,Lewis,68,0.15121065054783198,4.4,0.3116883116883117,UK,iter
Lewis_69,Lewis,69,0.2685806727053643,3.4,0.3898305084745763,UK,iter
Lewis_7,Lewis,7,0.3106087813324312,4.8,0.40828402366863903,UK,iter
Lewis_70,Lewis,70,0.21534682152100362,3.7,0.3643724696356275,UK,iter
Lewis_71,Lewis,71,0.06019294592450042,2.6,0.2857142857142857,UK,iter
Lewis_72,Lewis,72,0.038950762696073504,2.5,0.24770642201834864,UK,iter
Lewis_73,Lewis,73,0.12479369740748344,4.1,0.3710247349823322,UK,iter
Lewis_74,Lewis,74,0.05842614404411025,2.5,0.24793388429752067,UK,iter
Lewis_75,Lewis,75,0.16360424663744655,3.6,0.3870967741935484,UK,iter
Lewis_76,Lewis,76,0.15658070435961632,3.3,0.42162162162162165,UK,iter
Lewis_77,Lewis,77,0.19308918602940026,3.9,0.3907563025210084,UK,iter
Lewis_78,Lewis,78,0.2303108313155588,3.4,0.4482758620689655,UK,iter
Lewis_79,Lewis,79,0.047513250783003495,2.4,0.2647058823529412,UK,iter
Lewis_8,Lewis,8,0.24090623301531575,3.2,0.44594594594594594,UK,iter
Lewis_80,Lewis,80,0.05377369183319036,2.3,0.27,UK,iter
Lewis_81,Lewis,81,0.03983654004209258,2.2,0.2926829268292683,UK,iter
Lewis_82,Lewis,82,0.056903377601259596,2.6,0.23076923076923078,UK,iter
Lewis_83,Lewis,83,0.06322096032824336,2.6,0.2682926829268293,UK,iter
Lewis_84,Lewis,84,0.06222567453323664,3.3,0.45454545454545453,UK,iter
Lewis_85,Lewis,85,0.042452914605150285,2.3,0.27906976744186046,UK,iter
Lewis_86,Lewis,86,0.04321100236595654,2,0.33962264150943394,UK,iter
Lewis_87,Lewis,87,0.1470408648404045,3.7,0.39545454545454545,UK,iter
Lewis_88,Lewis,88,0.2562609654116742,5.1,0.4097938144329897,UK,iter
Lewis_89,Lewis,89,0.2609200389957402,3.8,0.4876847290640394,UK,iter
Lewis_9,Lewis,9,0.15575777426267945,3.4,0.42391304347826086,UK,iter
Lewis_90,Lewis,90,0.05761466982127539,2.3,0.27,UK,iter
Lewis_91,Lewis,91,0.05647801508168341,2.3,0.2926829268292683,UK,iter
Lewis_92,Lewis,92,0.05938843235173267,2.5,0.2912621359223301,UK,iter
Lewis_93,Lewis,93,0.05237697256479581,2.4,0.2571428571428571,UK,iter
Lewis_94,Lewis,94,0.2079894967488195,4.2,0.3282674772036474,UK,iter
Lewis_95,Lewis,95,0.15652345319355865,3.4,0.4262295081967213,UK,iter
Lewis_96,Lewis,96,0.04903376155002161,2.2,0.31343283582089554,UK,iter
Lewis_97,Lewis,97,0.12248572780545311,3.4,0.4117647058823529,UK,iter
Lewis_98,Lewis,98,0.20841629718478996,3.1,0.44,UK,iter
Lewis_99,Lewis,99,0.15118136972652607,3.5,0.41935483870967744,UK,iter
