Language,Subject,Age,Gloss,IPAtarget,IPAactual1,IPAactual2,IPAactual3,IPAactual4,IPAactual5,IPAactual6,IPAactual7,IPAactual8
NA,NA,NA,rattad,rattat,ɑt:ɑ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,ruttu,rutːtu,ut:ːʲuːː,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,seda,setɑ,et:ʲɑ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,see,seːː,teːː,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,siia,siːːɑ,tiːːɑ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,siin,siːːn,tiːː (2),tiːː (2),NA,NA,NA,NA,NA,NA
NA,NA,NA,sisse,sisːse,isːʲe,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,tädi,tæti,tæːtʲi,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,teine,tteine,tiːni,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,teise,tteise,tisːe (2),tisːe (2),NA,NA,NA,NA,NA,NA
NA,NA,NA,tööle,tøːːle [Q3],tøːjæ (Q2),NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,traktor,trɑkkːttor,tɑk:ɑ (5),tɑk:ɑ (5),tɑk:ɑ (5),tɑk:ɑ (5),tɑk:ɑ (5),NA,NA,NA
NA,NA,NA,tühjaks,tyhjɑkks,tyhhjɑ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,üks,ykks,øk:s,yk:s,NA,NA,NA,NA,NA,NA
NA,NA,NA,vaata,vɑːːtːɑ,ɑːt:tʲɑ,vɑːtːtʲɑ,vɑː  t:tʲɑ,NA,NA,NA,NA,NA
NA,NA,NA,veel,veːːl,eːː,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,venna,venːɑ,ven:ʲɑ (5),ven:ʲɑ (5),ven:ʲɑ (5),ven:ʲɑ (5),ven:ʲɑ (5),NA,NA,NA
NA,Antsu,20,ai,ɑi,ɑi,æi,NA,NA,NA,NA,NA,NA
NA,NA,NA,aitäh,ɑitæh,ɑitæh,ɑitæːː,NA,NA,NA,NA,NA,NA
NA,NA,NA,aken,ɑkken,ɑk:i,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,all,ɑlː,ɑlː,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,ämber,æmper,ɑup:uː,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,amps,ɑmps,ɑps,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Anna,ɑnnɑ,ɑn:ɑ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Antsu (Andreas),ɑntsu,ɑntsu,ɑtsu,NA,NA,NA,NA,NA,NA
NA,NA,NA,auh,ɑuh,auh,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,auku,ɑukku,ɑuk:u,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,auto,ɑutto,ɑut:o,ɑut:ɑ,NA,NA,NA,NA,NA,NA
NA,NA,NA,banaanid,pɑnɑːnit,pɑn:i,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,buss,pusː,pusː,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,bussi,pusːsi,pus:i,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,bussiga,pussikɑ,pus:ik:ɑ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,ei saa,ei sɑːː,eisɑːː,æisɑːː,NA,NA,NA,NA,NA,NA
NA,NA,NA,ei taha,ei tɑhɑ,ɑt:ːː,eitɑːː,eːtɑhɑːː,NA,NA,NA,NA,NA
NA,NA,NA,Eiki,eiːki,eki,eiːki,NA,NA,NA,NA,NA,NA
NA,NA,NA,emme,emme,em:æ,em:e,æm:æ,NA,NA,NA,NA,NA
