gloss1,gloss2,Speaker,word_pair,distance,distance_norm,data_type
bisou998,coucou1011,Adeline,bisou998_coucou1011,6.518186909071824,0.5391437423479923,target
bobo999,coucou1011,Adeline,bobo999_coucou1011,6.6332495807108,0.5486610084616192,target
bobo1000,coucou1011,Adeline,bobo1000_coucou1011,6.6332495807108,0.5486610084616192,target
bobo1001,coucou1011,Adeline,bobo1001_coucou1011,6.6332495807108,0.5486610084616192,target
chapeau1002,coucou1011,Adeline,chapeau1002_coucou1011,4.965053297900374,0.41067822284470673,target
chapeau1003,coucou1011,Adeline,chapeau1003_coucou1011,4.965053297900374,0.41067822284470673,target
chapeau1004,coucou1011,Adeline,chapeau1004_coucou1011,4.965053297900374,0.41067822284470673,target
chapeau1005,coucou1011,Adeline,chapeau1005_coucou1011,4.965053297900374,0.41067822284470673,target
chapeau1006,coucou1011,Adeline,chapeau1006_coucou1011,4.965053297900374,0.41067822284470673,target
chapeau1007,coucou1011,Adeline,chapeau1007_coucou1011,4.965053297900374,0.41067822284470673,target
chapeau1008,coucou1011,Adeline,chapeau1008_coucou1011,4.965053297900374,0.41067822284470673,target
chapeau1009,coucou1011,Adeline,chapeau1009_coucou1011,4.965053297900374,0.41067822284470673,target
chapeau1010,coucou1011,Adeline,chapeau1010_coucou1011,4.965053297900374,0.41067822284470673,target
coucou1012,coucou1011,Adeline,coucou1011_coucou1012,0,0,target
coucou1013,coucou1011,Adeline,coucou1011_coucou1013,0,0,target
coucou1014,coucou1011,Adeline,coucou1011_coucou1014,0,0,target
coucou1015,coucou1011,Adeline,coucou1011_coucou1015,0,0,target
coucou1016,coucou1011,Adeline,coucou1011_coucou1016,0,0,target
coucou1017,coucou1011,Adeline,coucou1011_coucou1017,0,0,target
coucou1018,coucou1011,Adeline,coucou1011_coucou1018,0,0,target
coucou1019,coucou1011,Adeline,coucou1011_coucou1019,0,0,target
coucou1020,coucou1011,Adeline,coucou1011_coucou1020,0,0,target
dodo1021,coucou1011,Adeline,coucou1011_dodo1021,6,0.49628255513596364,target
maman1022,coucou1011,Adeline,coucou1011_maman1022,8.94427190999916,0.7398143528875347,target
maman1023,coucou1011,Adeline,coucou1011_maman1023,8.94427190999916,0.7398143528875347,target
